"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2",".1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2","1","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4","1","4.7u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1,D3,D4,D6,D7,D9,D10,D12,D13,D15,D16,D18,D19,D21,D22,D24,D25,D27,D28,D30,D31,D33,D34,D36,D37,D39,D40,D42,D43,D45,D46,D48,D49,D51,D52,D54,D55,D57,D58,D60,D61,D63,D64,D66,D67,D69,D70,D72,D73,D75,D76,D78,D79,D81,D82,D84,D85,D87,D88,D90,D91,D93,D94,D96,D97,D99,D100,D102,D103,D105,D106,D108,D109,D111,D112,D114,D115,D117,D118,D120,D121,D123,D124,D126,D127,D129,D130,D132,D133,D135,D136,D138,D139,D141,D142,D144","96","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D2,D5,D8,D11,D14,D17,D20,D23,D26,D29,D32,D35,D38,D41,D44,D47,D50,D53,D56,D59,D62,D65,D68,D71,D74,D77,D80,D83,D86,D89,D92,D95,D98,D101,D104,D107,D110,D113,D116,D119,D122,D125,D128,D131,D134,D137,D140,D143","48","LED","","","","LED_SMD:LED_0805_2012Metric",""
"J1","1","Conn_01x02_Pin","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_Amphenol_12401548E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R2","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3","1","4k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4,R5","2","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RV1,RV2","2","R_Potentiometer","","","","Potentiometer_SMD:Potentiometer_Bourns_3269X_Horizontal",""
"SW1","1","SW_Nidec_CAS-120A1","","","","Button_Switch_SMD:Nidec_Copal_CAS-120A","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"U1","1","ESP32-C3-WROOM-02","","","","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf"
"U2","1","IS31FL3737","","","","Package_DFN_QFN:QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm","http://www.issi.com/WW/pdf/31FL3737.pdf"
"U4","1","BQ24090DGQ","","","","Package_SO:HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.83x1.89mm","http://www.ti.com/lit/ds/symlink/bq24090.pdf"
"U5","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
