Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x02_Pin","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",45.000000,-30.000000,-90.000000,bottom
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_Amphenol_12401548E4-2A",45.500000,-41.500000,90.000000,bottom
"RV1","R_Potentiometer","Potentiometer_Bourns_3269X_Horizontal",123.000000,-66.005000,180.000000,bottom
"RV2","R_Potentiometer","Potentiometer_Bourns_3269X_Horizontal",43.500000,-19.495000,0.000000,bottom
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",113.000000,-27.750000,90.000000,bottom
"C1",".1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.462500,-37.990000,0.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.462500,-41.000000,0.000000,top
"C3",".1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.462500,-44.010000,0.000000,top
"C4","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.462500,-47.020000,0.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.437500,-21.000000,0.000000,top
"D2","LED","LED_0805_2012Metric",65.437500,-21.000000,0.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.437500,-21.000000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.437500,-21.000000,0.000000,top
"D5","LED","LED_0805_2012Metric",77.437500,-21.000000,0.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.437500,-21.000000,0.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.437500,-21.000000,0.000000,top
"D8","LED","LED_0805_2012Metric",89.437500,-21.000000,0.000000,top
"D9","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.437500,-21.000000,0.000000,top
"D10","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.437500,-21.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",101.437500,-21.000000,0.000000,top
"D12","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.437500,-21.000000,0.000000,top
"D13","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.437500,-25.000000,0.000000,top
"D14","LED","LED_0805_2012Metric",65.437500,-25.000000,0.000000,top
"D15","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.437500,-25.000000,0.000000,top
"D16","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.437500,-25.000000,0.000000,top
"D17","LED","LED_0805_2012Metric",77.437500,-25.000000,0.000000,top
"D18","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.437500,-25.000000,0.000000,top
"D19","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.437500,-25.000000,0.000000,top
"D20","LED","LED_0805_2012Metric",89.437500,-25.000000,0.000000,top
"D21","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.437500,-25.000000,0.000000,top
"D22","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.437500,-25.000000,0.000000,top
"D23","LED","LED_0805_2012Metric",101.437500,-25.000000,0.000000,top
"D24","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.437500,-25.000000,0.000000,top
